b_region,s_region,date_a,value1,date_b,value2
서울,서울강북,2014-03-03,77.3,2014-03-03,0.05
서울,서울강북,2014-03-10,77.3,2014-03-10,0.04
서울,서울강북,2014-03-17,77.3,2014-03-17,0.05
서울,서울강북,2014-03-24,77.3,2014-03-24,0.03
서울,서울강북,2014-03-31,77.4,2014-03-31,0.02
서울,서울강북,2014-04-07,77.4,2014-04-07,0.01
서울,서울강북,2014-04-14,77.4,2014-04-14,0.01
서울,서울강북,2014-04-21,77.3,2014-04-21,0.0
서울,서울강북,2014-04-28,77.3,2014-04-28,-0.01
서울,서울강북,2014-05-12,77.3,2014-05-12,-0.01
서울,서울강북,2014-05-19,77.3,2014-05-19,-0.02
서울,서울강북,2014-05-26,77.3,2014-05-26,-0.02
서울,서울강북,2014-06-02,77.3,2014-06-02,-0.02
서울,서울강북,2014-06-09,77.3,2014-06-09,0.0
서울,서울강북,2014-06-16,77.3,2014-06-16,-0.01
서울,서울강북,2014-06-23,77.3,2014-06-23,0.0
서울,서울강북,2014-06-30,77.3,2014-06-30,0.0
서울,서울강북,2014-07-07,77.3,2014-07-07,0.0
서울,서울강북,2014-07-14,77.3,2014-07-14,0.0
서울,서울강북,2014-07-21,77.3,2014-07-21,0.0
서울,서울강북,2014-07-28,77.3,2014-07-28,0.0
서울,서울강북,2014-08-04,77.3,2014-08-04,-0.01
서울,서울강북,2014-08-11,77.3,2014-08-11,0.01
서울,서울강북,2014-08-18,77.3,2014-08-18,0.04
서울,서울강북,2014-08-25,77.4,2014-08-25,0.05
서울,서울강북,2014-09-01,77.4,2014-09-01,0.02
서울,서울강북,2014-09-15,77.5,2014-09-15,0.09
서울,서울강북,2014-09-22,77.5,2014-09-22,0.06
서울,서울강북,2014-09-29,77.6,2014-09-29,0.05
서울,서울강북,2014-10-06,77.6,2014-10-06,0.06
서울,서울강북,2014-10-13,77.6,2014-10-13,0.05
서울,서울강북,2014-10-20,77.6,2014-10-20,0.04
서울,서울강북,2014-10-27,77.7,2014-10-27,0.02
