b_region,s_region,date_a,value1,date_b,value2
서울,서울강북,2009-03-02,82.2,2009-03-02,-0.11
서울,서울강북,2009-03-09,82.0,2009-03-09,-0.09
서울,서울강북,2009-03-16,82.0,2009-03-16,-0.15
서울,서울강북,2009-03-23,82.0,2009-03-23,-0.06
서울,서울강북,2009-03-30,82.0,2009-03-30,-0.04
서울,서울강북,2009-04-06,82.0,2009-04-06,0.01
서울,서울강북,2009-04-13,82.0,2009-04-13,0.04
서울,서울강북,2009-04-20,82.0,2009-04-20,0.0
서울,서울강북,2009-04-27,82.0,2009-04-27,-0.02
서울,서울강북,2009-05-04,82.0,2009-05-04,0.0
서울,서울강북,2009-05-11,82.0,2009-05-11,0.0
서울,서울강북,2009-05-18,82.0,2009-05-18,0.02
서울,서울강북,2009-05-25,82.1,2009-05-25,0.02
서울,서울강북,2009-06-01,82.1,2009-06-01,0.06
서울,서울강북,2009-06-08,82.2,2009-06-08,0.04
서울,서울강북,2009-06-15,82.4,2009-06-15,0.15
서울,서울강북,2009-06-22,82.5,2009-06-22,0.14
서울,서울강북,2009-06-29,82.7,2009-06-29,0.23
서울,서울강북,2009-07-06,82.8,2009-07-06,0.21
서울,서울강북,2009-07-13,82.9,2009-07-13,0.09
서울,서울강북,2009-07-20,82.9,2009-07-20,0.09
서울,서울강북,2009-07-27,83.0,2009-07-27,0.08
서울,서울강북,2009-08-03,83.1,2009-08-03,0.07
서울,서울강북,2009-08-10,83.2,2009-08-10,0.15
서울,서울강북,2009-08-17,83.4,2009-08-17,0.14
서울,서울강북,2009-08-24,83.6,2009-08-24,0.19
서울,서울강북,2009-08-31,83.8,2009-08-31,0.26
서울,서울강북,2009-09-07,83.9,2009-09-07,0.18
서울,서울강북,2009-09-14,84.1,2009-09-14,0.17
서울,서울강북,2009-09-21,84.1,2009-09-21,0.18
서울,서울강북,2009-09-28,84.2,2009-09-28,0.09
서울,서울강북,2009-10-05,84.2,2009-10-05,0.05
서울,서울강북,2009-10-12,84.3,2009-10-12,0.04
서울,서울강북,2009-10-19,84.3,2009-10-19,0.05
서울,서울강북,2009-10-26,84.3,2009-10-26,0.01
서울,서울강북,2009-11-02,84.2,2009-11-02,0.01
서울,서울강북,2009-11-09,84.2,2009-11-09,-0.03
서울,서울강북,2009-11-16,84.2,2009-11-16,-0.03
서울,서울강북,2009-11-23,84.2,2009-11-23,0.0
서울,서울강북,2009-11-30,84.2,2009-11-30,0.0
서울,서울강북,2009-12-07,84.2,2009-12-07,-0.01
서울,서울강북,2009-12-14,84.2,2009-12-14,0.0
서울,서울강북,2009-12-21,84.2,2009-12-21,0.0
서울,서울강북,2009-12-28,84.2,2009-12-28,-0.02
서울,서울강북,2010-01-04,84.2,2010-01-04,0.0
서울,서울강북,2010-01-11,84.2,2010-01-11,0.01
서울,서울강북,2010-01-18,84.2,2010-01-18,0.0
서울,서울강북,2010-01-25,84.2,2010-01-25,0.03
서울,서울강북구,2009-03-02,88.3,2009-03-02,0.0
서울,서울강북구,2009-03-09,88.1,2009-03-09,-0.41
서울,서울강북구,2009-03-16,88.0,2009-03-16,-0.28
서울,서울강북구,2009-03-23,88.0,2009-03-23,-0.05
서울,서울강북구,2009-03-30,88.0,2009-03-30,-0.01
서울,서울강북구,2009-04-06,87.9,2009-04-06,-0.01
서울,서울강북구,2009-04-13,88.0,2009-04-13,-0.07
서울,서울강북구,2009-04-20,87.9,2009-04-20,0.02
서울,서울강북구,2009-04-27,87.9,2009-04-27,-0.08
서울,서울강북구,2009-05-04,87.9,2009-05-04,0.01
서울,서울강북구,2009-05-11,87.9,2009-05-11,0.0
서울,서울강북구,2009-05-18,87.9,2009-05-18,-0.04
서울,서울강북구,2009-05-25,87.9,2009-05-25,0.0
서울,서울강북구,2009-06-01,87.8,2009-06-01,0.0
서울,서울강북구,2009-06-08,87.8,2009-06-08,-0.03
서울,서울강북구,2009-06-15,87.8,2009-06-15,-0.06
서울,서울강북구,2009-06-22,87.7,2009-06-22,0.01
서울,서울강북구,2009-06-29,87.7,2009-06-29,-0.08
서울,서울강북구,2009-07-06,87.8,2009-07-06,0.0
서울,서울강북구,2009-07-13,87.7,2009-07-13,0.08
서울,서울강북구,2009-07-20,87.7,2009-07-20,-0.12
서울,서울강북구,2009-07-27,87.8,2009-07-27,-0.03
서울,서울강북구,2009-08-03,88.1,2009-08-03,0.2
서울,서울강북구,2009-08-10,88.4,2009-08-10,0.35
서울,서울강북구,2009-08-17,88.4,2009-08-17,0.27
서울,서울강북구,2009-08-24,88.4,2009-08-24,0.02
서울,서울강북구,2009-08-31,88.5,2009-08-31,0.03
서울,서울강북구,2009-09-07,88.5,2009-09-07,0.05
서울,서울강북구,2009-09-14,88.7,2009-09-14,0.08
서울,서울강북구,2009-09-21,88.7,2009-09-21,0.18
서울,서울강북구,2009-09-28,88.7,2009-09-28,0.0
서울,서울강북구,2009-10-05,88.7,2009-10-05,0.0
서울,서울강북구,2009-10-12,88.7,2009-10-12,0.0
서울,서울강북구,2009-10-19,88.7,2009-10-19,0.0
서울,서울강북구,2009-10-26,88.7,2009-10-26,0.03
서울,서울강북구,2009-11-02,88.7,2009-11-02,0.02
서울,서울강북구,2009-11-09,88.8,2009-11-09,0.0
서울,서울강북구,2009-11-16,88.8,2009-11-16,0.05
서울,서울강북구,2009-11-23,88.8,2009-11-23,0.01
서울,서울강북구,2009-11-30,88.8,2009-11-30,0.01
서울,서울강북구,2009-12-07,88.8,2009-12-07,0.01
서울,서울강북구,2009-12-14,88.8,2009-12-14,-0.01
서울,서울강북구,2009-12-21,88.8,2009-12-21,0.02
서울,서울강북구,2009-12-28,88.8,2009-12-28,0.01
서울,서울강북구,2010-01-04,88.8,2010-01-04,0.0
서울,서울강북구,2010-01-11,88.8,2010-01-11,0.03
서울,서울강북구,2010-01-18,88.8,2010-01-18,0.01
