종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","3275","-85","-2.53","151539205075"
"054620","APS홀딩스","KOSDAQ","금융","20350","-200","-0.97","415022397350"
"265520","AP시스템","KOSDAQ","반도체","29950","-700","-2.28","433682798650"
"211270","AP위성","KOSDAQ","통신장비","15800","-600","-3.66","238300403200"
"013720","CBI","KOSDAQ","운송장비·부품","4900","350","7.69","200379889500"
"035760","CJ ENM","KOSDAQ","방송서비스","167900","-5500","-3.17","3681904956600"
"051500","CJ프레시웨이","KOSDAQ","유통","33300","-1000","-2.92","395323813800"
"058820","CMG제약","KOSDAQ","제약","4780","-60","-1.24","663904926320"
"023460","CNH","KOSDAQ","금융","3330","-15","-0.45","123876000000"
"056730","CNT85","KOSDAQ","유통","1550","0","0.00","109591063600"
"056000","COWON","KOSDAQ","디지털컨텐츠","2860","0","0.00","56399843500"
"065770","CS","KOSDAQ","통신장비","5140","30","0.59","99773208200"
"083660","CSA 코스믹","KOSDAQ","화학","1550","-25","-1.59","58797876700"
"367340","DB금융스팩8호","KOSDAQ","금융","2190","10","0.46","13249500000"
"367360","DB금융스팩9호","KOSDAQ","금융","2185","0","0.00","10575400000"
"068790","DMS","KOSDAQ","기계·장비","7940","-30","-0.38","195110104340"
"241520","DSC인베스트먼트","KOSDAQ","금융","5370","20","0.37","149347234110"
"245620","EDGC","KOSDAQ","기타서비스","5010","-60","-1.18","418986675750"
"037370","EG","KOSDAQ","건설","14700","350","2.44","110250000000"
"079190","EMW","KOSDAQ","통신장비","2780","0","0.00","88360067660"
"050120","ES큐브","KOSDAQ","유통","5890","-10","-0.17","79892466540"
"130500","GH신소재","KOSDAQ","섬유·의류","9030","790","9.59","99330000000"
"900290","GRT","KOSDAQ","금융","951","0","0.00","64073625000"
"083450","GST","KOSDAQ","반도체","30250","-450","-1.47","281861786250"
"045890","GV","KOSDAQ","일반전기전자","240","0","0.00","20823884880"
"297890","HB솔루션","KOSDAQ","기계·장비","27150","-500","-1.81","441700200600"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2890","-90","-3.02","228282331140"
"036640","HRS","KOSDAQ","화학","5720","-60","-1.04","93549456000"
"335870","IBKS제12호스팩","KOSDAQ","금융","2425","5","0.21","7566000000"
"351340","IBKS제13호스팩","KOSDAQ","금융","2325","20","0.87","12020250000"
"351320","IBKS제14호스팩","KOSDAQ","금융","2280","0","0.00","9872400000"
"373200","IBKS제15호스팩","KOSDAQ","금융","2350","0","0.00","8272000000"
"095340","ISC","KOSDAQ","반도체","25450","-200","-0.78","421057932200"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","4840","-100","-2.02","169426702280"
"067290","JW신약","KOSDAQ","제약","4920","-10","-0.20","216169341360"
"035900","JYP Ent.","KOSDAQ","오락·문화","40250","-350","-0.86","1428774053000"
"024840","KBI메탈","KOSDAQ","금속","2760","-5","-0.18","90944340480"
"024120","KB오토시스","KOSDAQ","운송장비·부품","7840","-150","-1.88","90160000000"
"021320","KCC건설","KOSDAQ","건설","10100","-100","-0.98","216140000000"
"036670","KCI","KOSDAQ","화학","10300","-100","-0.96","116081000000"
"044180","KD","KOSDAQ","건설","2350","415","21.45","38834596000"
"151860","KG ETS","KOSDAQ","기타서비스","21700","-150","-0.69","781200000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","10600","50","0.47","411551020800"
"035600","KG이니시스","KOSDAQ","소프트웨어","22150","-300","-1.34","618083213100"
"226360","KH E&T","KOSDAQ","건설","2140","-60","-2.73","116275836420"
