DT,TBL_NM,PRD_SE,PRD_DE,C1,C1_NM,ITM_NM,TBL_ID,ITM_ID,ORG_ID,C1_OBJ_NM
111.2,주택시장 소비심리지수,M,2012-01-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.0,주택시장 소비심리지수,M,2012-01-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.8,주택시장 소비심리지수,M,2012-01-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
101.5,주택시장 소비심리지수,M,2012-01-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
105.9,주택시장 소비심리지수,M,2012-01-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
117.3,주택시장 소비심리지수,M,2012-01-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.3,주택시장 소비심리지수,M,2012-01-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.6,주택시장 소비심리지수,M,2012-01-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
123.4,주택시장 소비심리지수,M,2012-01-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
98.8,주택시장 소비심리지수,M,2012-01-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.3,주택시장 소비심리지수,M,2012-01-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.3,주택시장 소비심리지수,M,2012-01-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
121.6,주택시장 소비심리지수,M,2012-01-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
125.0,주택시장 소비심리지수,M,2012-01-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.4,주택시장 소비심리지수,M,2012-01-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
120.2,주택시장 소비심리지수,M,2012-01-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
121.9,주택시장 소비심리지수,M,2012-01-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.4,주택시장 소비심리지수,M,2012-01-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
117.0,주택시장 소비심리지수,M,2012-02-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.3,주택시장 소비심리지수,M,2012-02-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
112.4,주택시장 소비심리지수,M,2012-02-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.6,주택시장 소비심리지수,M,2012-02-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.3,주택시장 소비심리지수,M,2012-02-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
123.8,주택시장 소비심리지수,M,2012-02-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
117.7,주택시장 소비심리지수,M,2012-02-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
130.3,주택시장 소비심리지수,M,2012-02-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
128.8,주택시장 소비심리지수,M,2012-02-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.3,주택시장 소비심리지수,M,2012-02-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
134.6,주택시장 소비심리지수,M,2012-02-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
133.5,주택시장 소비심리지수,M,2012-02-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
128.9,주택시장 소비심리지수,M,2012-02-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
134.1,주택시장 소비심리지수,M,2012-02-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.1,주택시장 소비심리지수,M,2012-02-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
125.7,주택시장 소비심리지수,M,2012-02-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
129.3,주택시장 소비심리지수,M,2012-02-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
117.7,주택시장 소비심리지수,M,2012-02-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.7,주택시장 소비심리지수,M,2012-03-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.1,주택시장 소비심리지수,M,2012-03-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
