MESR_YM,SIDONM,SUM_YN,INDX_VALU
201201,전국,Y,111.2
201201,수도권,Y,106.0
201201,서울특별시,N,107.8
201201,인천광역시,N,101.5
201201,경기도,N,105.9
201201,비수도권,Y,117.3
201201,부산광역시,N,111.3
201201,대구광역시,N,124.6
201201,광주광역시,N,123.4
201201,대전광역시,N,98.8
201201,울산광역시,N,124.3
201201,강원도,N,124.3
201201,충청북도,N,121.6
201201,충청남도,N,125.0
201201,전라북도,N,118.4
201201,전라남도,N,120.2
201201,경상북도,N,121.9
201201,경상남도,N,111.4
201202,전국,Y,117.0
201202,수도권,Y,111.3
201202,서울특별시,N,112.4
201202,인천광역시,N,108.6
201202,경기도,N,111.3
201202,비수도권,Y,123.8
201202,부산광역시,N,117.7
201202,대구광역시,N,130.3
201202,광주광역시,N,128.8
201202,대전광역시,N,104.3
201202,울산광역시,N,134.6
201202,강원도,N,133.5
201202,충청북도,N,128.9
201202,충청남도,N,134.1
201202,전라북도,N,118.1
201202,전라남도,N,125.7
201202,경상북도,N,129.3
201202,경상남도,N,117.7
201203,전국,Y,113.7
201203,수도권,Y,107.1
201203,서울특별시,N,106.5
201203,인천광역시,N,107.4
201203,경기도,N,107.4
201203,비수도권,Y,121.9
201203,부산광역시,N,117.2
201203,대구광역시,N,127.2
201203,광주광역시,N,127.7
201203,대전광역시,N,98.4
201203,울산광역시,N,135.0
201203,강원도,N,127.1
201203,충청북도,N,128.3
201203,충청남도,N,129.8
201203,전라북도,N,115.6
201203,전라남도,N,125.0
201203,경상북도,N,127.4
201203,경상남도,N,115.4
201204,전국,Y,112.8
201204,수도권,Y,106.6
201204,서울특별시,N,105.9
201204,인천광역시,N,105.7
201204,경기도,N,107.1
201204,비수도권,Y,120.5
201204,부산광역시,N,113.8
201204,대구광역시,N,125.8
201204,광주광역시,N,127.4
201204,대전광역시,N,94.8
201204,울산광역시,N,141.5
201204,강원도,N,124.5
201204,충청북도,N,128.5
201204,충청남도,N,130.9
201204,전라북도,N,113.6
201204,전라남도,N,124.3
201204,경상북도,N,129.4
201204,경상남도,N,109.4
201205,전국,Y,111.7
201205,수도권,Y,106.4
201205,서울특별시,N,106.7
201205,인천광역시,N,102.3
201205,경기도,N,107.1
201205,비수도권,Y,118.3
201205,부산광역시,N,111.9
201205,대구광역시,N,125.7
201205,광주광역시,N,122.6
201205,대전광역시,N,99.1
201205,울산광역시,N,129.0
201205,강원도,N,120.4
201205,충청북도,N,126.3
201205,충청남도,N,131.0
201205,전라북도,N,106.8
201205,전라남도,N,122.0
201205,경상북도,N,129.5
201205,경상남도,N,108.4
201206,전국,Y,100.4
201206,수도권,Y,94.2
201206,서울특별시,N,93.7
201206,인천광역시,N,91.8
201206,경기도,N,95.0
201206,비수도권,Y,108.1
201206,부산광역시,N,100.7
201206,대구광역시,N,117.1
201206,광주광역시,N,114.2
201206,대전광역시,N,94.5
201206,울산광역시,N,111.1
201206,강원도,N,111.8
201206,충청북도,N,114.3
201206,충청남도,N,121.4
201206,전라북도,N,100.4
201206,전라남도,N,107.4
201206,경상북도,N,118.7
201206,경상남도,N,100.4
201207,전국,Y,102.5
201207,수도권,Y,97.8
201207,서울특별시,N,97.9
201207,인천광역시,N,92.7
201207,경기도,N,98.7
201207,비수도권,Y,108.3
201207,부산광역시,N,101.6
201207,대구광역시,N,118.1
201207,광주광역시,N,118.7
201207,대전광역시,N,91.4
201207,울산광역시,N,110.6
201207,강원도,N,114.7
201207,충청북도,N,115.7
201207,충청남도,N,116.6
201207,전라북도,N,99.3
201207,전라남도,N,105.0
201207,경상북도,N,118.4
201207,경상남도,N,102.0
201208,전국,Y,107.3
201208,수도권,Y,103.2
201208,서울특별시,N,104.5
201208,인천광역시,N,95.8
201208,경기도,N,104.0
201208,비수도권,Y,112.1
201208,부산광역시,N,103.1
201208,대구광역시,N,124.3
201208,광주광역시,N,121.2
201208,대전광역시,N,99.6
201208,울산광역시,N,113.3
201208,강원도,N,119.0
201208,충청북도,N,118.8
201208,충청남도,N,123.7
201208,전라북도,N,102.2
201208,전라남도,N,107.7
201208,경상북도,N,124.8
201208,경상남도,N,104.6
201209,전국,Y,111.5
201209,수도권,Y,108.3
201209,서울특별시,N,108.8
201209,인천광역시,N,102.9
201209,경기도,N,109.2
201209,비수도권,Y,115.4
201209,부산광역시,N,108.1
201209,대구광역시,N,127.7
201209,광주광역시,N,116.8
201209,대전광역시,N,107.8
201209,울산광역시,N,114.3
201209,강원도,N,123.7
201209,충청북도,N,119.8
201209,충청남도,N,128.9
201209,전라북도,N,100.1
201209,전라남도,N,115.8
201209,경상북도,N,126.5
201209,경상남도,N,108.3
201210,전국,Y,113.9
201210,수도권,Y,110.6
201210,서울특별시,N,112.3
201210,인천광역시,N,103.8
201210,경기도,N,111.0
201210,비수도권,Y,118.0
201210,부산광역시,N,110.8
201210,대구광역시,N,132.7
201210,광주광역시,N,118.4
201210,대전광역시,N,113.3
201210,울산광역시,N,122.4
201210,강원도,N,125.8
201210,충청북도,N,123.4
201210,충청남도,N,131.5
201210,전라북도,N,100.6
201210,전라남도,N,110.2
201210,경상북도,N,128.3
201210,경상남도,N,110.0
201211,전국,Y,108.2
201211,수도권,Y,104.1
201211,서울특별시,N,106.3
201211,인천광역시,N,99.1
201211,경기도,N,103.8
201211,비수도권,Y,113.4
201211,부산광역시,N,104.1
201211,대구광역시,N,127.8
201211,광주광역시,N,119.3
201211,대전광역시,N,107.6
201211,울산광역시,N,113.0
201211,강원도,N,119.0
201211,충청북도,N,120.2
201211,충청남도,N,127.4
201211,전라북도,N,99.0
201211,전라남도,N,107.1
201211,경상북도,N,124.7
201211,경상남도,N,106.2
201212,전국,Y,105.2
201212,수도권,Y,101.4
201212,서울특별시,N,104.2
201212,인천광역시,N,97.8
201212,경기도,N,100.5
201212,비수도권,Y,109.8
201212,부산광역시,N,102.3
201212,대구광역시,N,122.2
201212,광주광역시,N,117.1
201212,대전광역시,N,104.7
201212,울산광역시,N,108.5
201212,강원도,N,111.3
201212,충청북도,N,111.7
201212,충청남도,N,119.2
201212,전라북도,N,97.8
201212,전라남도,N,106.4
201212,경상북도,N,120.0
201212,경상남도,N,106.7
201301,전국,Y,112.3
201301,수도권,Y,109.8
201301,서울특별시,N,114.2
201301,인천광역시,N,104.8
201301,경기도,N,108.4
201301,비수도권,Y,115.1
201301,부산광역시,N,105.1
201301,대구광역시,N,130.6
201301,광주광역시,N,123.6
201301,대전광역시,N,111.0
201301,울산광역시,N,114.5
201301,강원도,N,123.8
201301,충청북도,N,120.1
201301,충청남도,N,128.9
201301,전라북도,N,99.4
201301,전라남도,N,104.4
201301,경상북도,N,126.4
201301,경상남도,N,110.0
201302,전국,Y,119.5
201302,수도권,Y,118.0
201302,서울특별시,N,122.1
201302,인천광역시,N,114.5
201302,경기도,N,116.5
201302,비수도권,Y,121.1
201302,부산광역시,N,113.2
201302,대구광역시,N,135.9
201302,광주광역시,N,127.8
201302,대전광역시,N,118.7
201302,울산광역시,N,117.5
201302,강원도,N,129.8
201302,충청북도,N,125.1
201302,충청남도,N,134.2
201302,전라북도,N,110.4
201302,전라남도,N,111.0
201302,경상북도,N,125.4
201302,경상남도,N,116.9
201303,전국,Y,116.8
201303,수도권,Y,114.6
201303,서울특별시,N,114.9
201303,인천광역시,N,112.7
201303,경기도,N,114.8
201303,비수도권,Y,119.5
201303,부산광역시,N,115.3
201303,대구광역시,N,137.7
201303,광주광역시,N,126.2
201303,대전광역시,N,112.4
201303,울산광역시,N,116.2
201303,강원도,N,124.9
201303,충청북도,N,117.6
