종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5800","-10","-0.17","271569311000"
"006840","AK홀딩스","KOSPI","기타금융","28000","-400","-1.41","370931708000"
"027410","BGF","KOSPI","기타금융","6230","-20","-0.32","596315607930"
"282330","BGF리테일","KOSPI","유통업","163000","500","0.31","2817276678000"
"138930","BNK금융지주","KOSPI","기타금융","7670","170","2.27","2499923336820"
"001460","BYC","KOSPI","섬유의복","394000","8000","2.07","246098310000"
"001465","BYC우","KOSPI","섬유의복","178000","1500","0.85","38338530000"
"001040","CJ","KOSPI","기타금융","100500","0","0.00","2932288299000"
"079160","CJ CGV","KOSPI","서비스업","30200","-400","-1.31","1060020000000"
"00104K","CJ4우(전환)","KOSPI","기타금융","85300","-700","-0.81","360521473600"
"000120","CJ대한통운","KOSPI","운수창고업","181000","-1500","-0.82","4129034264000"
"011150","CJ씨푸드","KOSPI","음식료품","4735","-65","-1.35","170132210155"
"011155","CJ씨푸드1우","KOSPI","음식료품","41600","-200","-0.48","8320000000"
"001045","CJ우","KOSPI","기타금융","64000","-300","-0.47","144654272000"
"097950","CJ제일제당","KOSPI","음식료품","464000","-6500","-1.38","6985142304000"
"097955","CJ제일제당 우","KOSPI","음식료품","208500","0","0.00","276769780500"
"000590","CS홀딩스","KOSPI","기타금융","68000","-200","-0.29","78504776000"
"012030","DB","KOSPI","서비스업","1280","35","2.81","257502634240"
"016610","DB금융투자","KOSPI","증권","6920","-70","-1.00","293729011880"
"005830","DB손해보험","KOSPI","보험","55800","1500","2.76","3950640000000"
"000990","DB하이텍","KOSPI","전기전자","61800","-1500","-2.37","2743832738400"
"000995","DB하이텍1우","KOSPI","전기전자","115500","500","0.43","12972498000"
"139130","DGB금융지주","KOSPI","기타금융","9100","100","1.11","1539227080300"
"001530","DI동일","KOSPI","유통업","266500","-3500","-1.30","669089557500"
"000210","DL","KOSPI","기타금융","77300","-800","-1.02","1619889833200"
"001880","DL건설","KOSPI","건설업","34000","-400","-1.16","749811656000"
"000215","DL우","KOSPI","기타금융","46200","0","0.00","77898513000"
"375500","DL이앤씨","KOSPI","건설업","144500","-2000","-1.37","2797337641000"
"37550K","DL이앤씨우","KOSPI","건설업","80200","-500","-0.62","169533577000"
"004840","DRB동일","KOSPI","화학","7340","0","0.00","146286200000"
"155660","DSR","KOSPI","철강금속","6490","-50","-0.76","103840000000"
"069730","DSR제강","KOSPI","철강금속","6220","-130","-2.05","89568000000"
"017940","E1","KOSPI","유통업","55100","-200","-0.36","377986000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","7140","10","0.14","1022869260000"
"383220","F&F","KOSPI","섬유의복","586000","-17000","-2.82","4489589190000"
"007700","F&F홀딩스","KOSPI","섬유의복","37500","150","0.40","290196937500"
"114090","GKL","KOSPI","서비스업","16000","0","0.00","989690720000"
"078930","GS","KOSPI","기타금융","43750","200","0.46","4065047787500"
"006360","GS건설","KOSPI","건설업","44800","800","1.82","3834050752000"
"001250","GS글로벌","KOSPI","유통업","2775","-20","-0.72","229031195100"
"007070","GS리테일","KOSPI","유통업","35600","-200","-0.56","3727958023200"
"078935","GS우","KOSPI","기타금융","36550","-100","-0.27","65235390300"
"012630","HDC","KOSPI","기타금융","12450","-50","-0.40","743784426450"
"039570","HDC아이콘트롤스","KOSPI","건설업","13800","-200","-1.43","227148000000"
"089470","HDC현대EP","KOSPI","화학","5860","0","0.00","186934000000"
"294870","HDC현대산업개발","KOSPI","건설업","30900","-100","-0.32","2036536497000"
"011200","HMM","KOSPI","운수창고업","41900","450","1.09","16985945205300"
"082740","HSD엔진","KOSPI","기계","8380","-240","-2.78","391524041480"
"003560","IHQ","KOSPI","서비스업","1860","-50","-2.62","271998491280"
"175330","JB금융지주","KOSPI","기타금융","7700","310","4.19","1516768283800"
"234080","JW생명과학","KOSPI","의약품","18450","-200","-1.07","292147521300"
"001060","JW중외제약","KOSPI","의약품","28600","-50","-0.17","616041883600"
"001067","JW중외제약2우B","KOSPI","의약품","60600","500","0.83","5637496800"
"001065","JW중외제약우","KOSPI","의약품","41500","450","1.10","7365669000"
"096760","JW홀딩스","KOSPI","기타금융","4485","-50","-1.10","306958701270"
"105560","KB금융","KOSPI","기타금융","52500","400","0.77","21829915800000"
"002380","KCC","KOSPI","화학","329000","6500","2.02","2923648959000"
